test_suite,TC#,name,summary,preconditions,ad_types,steps,expected_results,test type,importance,status,execution_type
Malformed URL,MFAU-13,CTA Url with invalid domain,CTA Url with invalid domain,"CTA URL with invalid domain
 IOS:
 https://itune.apple.com/us/app/apple-tv-remote/id1096834193?mt=8
 
 Android: 
 https://play.googl.com/store/apps/details?id=com.nianticlabs.pokemong",any,"1. load ad
 2. play ad
 3. click the clickable area to launch the CTA Url through Storekit/App Store during video is playing","IOS:
 storekit: it opens AppStore successfully with the valid App ID
 AppStore: it opens on iTune Store, but it fails displaying the app
 
 Android: ""This site can't be reached"" is displayed on the browser",Negative,2,1,1
Malformed URL,MFAU-14,CTA Url with invalid Application ID,CTA Url with invalid Application ID,"CTA URL with 
 IOS:
 https://itunes.apple.com/us/app/apple-tv-remote/id10968341?mt=8
 
 Android:
 https://play.google.com/store/apps/details?id=com.nianticlabs.pokemon",any,"1. load ad
 2. play ad
 3. click the clickable area to launch the CTA Url through Storekit/App Store during video is playing","IOS:
 storekit: it opens AppStore successfully but it fails displaying the app
 AppStore: it opens on iTune Store, but it fails displaying the app
 
 Android: playstore is launched successfully but it displays ""item not found""",Negative,2,1,1
Malformed URL,MFAU-15,CTA Url without Application ID,CTA Url without Application ID,"CTA URL with 
 IOS: https://www.vungle.com
 Android: https://play.google.com/store/apps",any,"1. load ad
 2. play ad
 3. click the clickable area to launch the CTA Url through Storekit/App Store during video is playing","IOS:
 Storekit doesn't launched because the URL doesn't include AppID.
 the app always opens browser with the url when the CTA is clicked
 
 Android: Playstore is launched with the main page",Negative,2,1,1
Malformed URL,MFAU-16,CTA Url with blank,CTA Url with blank,"CTA URL with """"",any,"1. load ad
 2. play ad
 3. click the clickable area to launch the CTA Url through Storekit/App Store during video is playing","The click doesn't response on UI
 TPAT(POSTROLL_CLICK) is fired
 
 Android: the expected behavior is under discussion at AND-2013",Negative,2,1,1
AutoCache/Multi AutoCache,ATCH-1,no placement auto-cached,no placement auto-cached,zero auto-cacheable placement,any,"1. initialize the app
 2. observe ads",no ad must be auto-cached,Boundary,2,1,1
AutoCache/Multi AutoCache,ATCH-2,no placement auto-cached after clear cache,no placement auto-cached after clear cache,zero auto-cacheable placement,any,"1. initialize the app
 2.observe no ad auto-cached
 3. clear cache",no ad must be auto-cached,Boundary,2,1,1
AutoCache/Multi AutoCache,ATCH-3,no auto-cached after playing,no auto-cached after playing,zero auto-cacheable placement,any,"1. initialize the app
 2.observe no ad auto-cached
 3. play ad and close","/ads, /will_play_ad, and /report_ad must be called in sequence
 
 the played ad should not be auto-cached",Boundary,2,1,1
AutoCache/Multi AutoCache,ATCH-4,no auto-cached after re-initialization,no auto-cached after re-initialization,zero auto-cacheable placement,any,"1. initialize the app
 2. observe no ad auto-cached
 3. kill the app
 4. re-initialize the app",no ad must be auto-cached after re-initialization,Boundary,2,1,1
AutoCache/Multi AutoCache,ATCH-5,single auto-cacheable placement must be autocached,single auto-cacheable placement must be autocached,1 auto-cacheable placement of each ad type,any,"1. initialize the app
 2. observe auto-cacheable ads
 3. repeat step 1-2 with each ad type",only auto-cacheable ads must be loaded,Basic,2,1,1
AutoCache/Multi AutoCache,ATCH-6,multipleauto-cacheable placements must be auto-cached,multipleauto-cacheable placements must be auto-cached,"multiple auto-cacheable placements 
 (1 placement of each ad type are autocacheable)",any,"1. initialize the app
 2. observe auto-cacheable ads",only auto-cacheable ads must be loaded,Basic,2,1,1
AutoCache/Multi AutoCache,ATCH-7,play the auto-cacheable ad,play the auto-cacheable ad,"multiple auto-cacheable placements 
 (1 placement of each ad type are autocacheable)",any,"1. initialize the app
 2. wait until all auto-cacheable ads are loaded
 3. play all auto-cached ads individually","/will_play_ad, /ads, and /report_ad must be called in sequence
 
 the ad must be auto-cached",Functional,2,1,1
AutoCache/Multi AutoCache,ATCH-8,load and play the non auto-cacheable ad,load and play the non auto-cacheable ad,"multiple auto-cacheable placements 
 (1 placement of each ad type are autocacheable,
 1 placement of each ad type are non-autocacheable)",any,"1. initialize the app
 2.observe no ad auto-cached
 3. play all non auto-cacheable ad individually and close","/ads, /will_play_ad, and /report_ad must be called in sequence
 
 the played non auto-cacheable ad should not be auto-cached",Functional,2,1,1
AutoCache/Multi AutoCache,ATCH-9,play auto-cacheable ad while the auto-caching is loading,play auto-cacheable ad while the auto-caching is loading,"multiple auto-cacheable placements 
 (1 placement of each ad type are autocacheable,
 1 placement of each ad type are non-autocacheable)",any,"1. initialize the app
 2. play an auto-cached ad while the auto-caching is loading","/will_play_ad, /ads, and /report_ad must be called in sequence
 
 ad plays successfully
 while auto-caching continues on
 The played ad must be auto-cached",Functional,2,1,1
AutoCache/Multi AutoCache,ATCH-10,play non auto-cacheable ad while the auto-caching is loading,play non auto-cacheable ad while the auto-caching is loading,"multiple auto-cacheable placements 
 (1 placement of each ad type are autocacheable,
 1 placement of each ad type are non-autocacheable)",any,"1. initialize the app
 2. load and play an non auto-cached ad while the auto-caching is loading","/ads, /will_play_ad, and /report_ad must be called in sequence
 
 ad is loaded and played successfully after all auto-cacheable placements are loaded
 The played ad must not be auto-cached",Functional,2,1,1
AutoCache/Multi AutoCache,ATCH-11,Interrupt auto-caching by putting in background,Interrupt auto-caching by putting in background,"multiple auto-cacheable placements 
 (1 placement of each ad type are autocacheable,
 1 placement of each ad type are non-autocacheable)",any,"1. initialize the app
 2. put app in background while the auto-caching is loading
 3. bring the app in foreground","iOS: app pauses auto-caching in background and it resumes auto-caching when it is back in foreground
 
 Android: app should continue to auto-caching in background
 
 Windows: either one.. please record the behavior in result",Interruption,2,1,1
AutoCache/Multi AutoCache,ATCH-12,Interrupt auto-caching by locking the device,Interrupt auto-caching by locking the device,"multiple auto-cacheable placements 
 (1 placement of each ad type are autocacheable,
 1 placement of each ad type are non-autocacheable)",any,"1. initialize the app
 2. Lock the device while the auto-caching is loading
 3. Unlock the device and launch the app","auto-caching must be paused when the app is locked
 App should resume auto-caching",Interruption,2,1,1
AutoCache/Multi AutoCache,ATCH-13,Interrupt auto-caching by killing the app,Interrupt auto-caching by killing the app,"multiple auto-cacheable placements 
 (1 placement of each ad type are autocacheable,
 1 placement of each ad type are non-autocacheable)",any,"1. initialize the app
 2. Kill the app while the auto-caching is loading
 3. Re-initialize the app","auto-caching must be paused when the app is killed
 App should resume auto-caching",Interruption,2,1,1
AutoCache/Multi AutoCache,ATCH-14,Interrupt the auto-caching by network disable,Interrupt the auto-caching by network disable,"multiple auto-cacheable placements 
 (1 placement of each ad type are autocacheable,
 1 placement of each ad type are non-autocacheable)",any,"1. initialize the app
 2. disable data network while the auto-caching is loading
 3. enable data network","auto-caching must be paused when data network is disabled
 auto-caching should be resumed when data network is enabled back",Interruption,2,1,1
AutoCache/Multi AutoCache,ATCH-15,Auto-cached ad is playable after re-initialization,Auto-cached ad is playable after re-initialization,"multiple auto-cacheable placements 
 (1 placement of each ad type are autocacheable,
 1 placement of each ad type are non-autocacheable)",any,"1. set all different type of ads as auto-cacheable
 2. initialize the app and wait until all ads are auto-cached
 3. kill the app and re-initialize the app
 4. play the auto-cached ads","all auto-cached ads are playable.
 auto-cache should not be restarted",Functional,2,1,1
AutoCache/Multi AutoCache,ATCH-16,auto-cache after network is restored,auto-cache after network is restored,multiple auto-cacheable placements (each type of ads),any,"1. set all different type of ads as auto-cacheable
 2. initialize the app
 3. Disable the data network
 4. play all auto-cached ads
 5. Enable the data network","Auto cacheble ads must not be auto-cached while the data network is disabled
 Auto cacheable ads must be auto-cached after the data network is restored",Functional,2,1,1
AutoCache/Multi AutoCache,ATCH-17,Play auto-cacheable ad while data network is disabled,Play auto-cacheable ad while data network is disabled,"multiple auto-cacheable placements 
 (1 placement of each ad type are autocacheable,
 1 placement of each ad type are non-autocacheable)",any,"1. initialize the app
 2. wait for all auto-caching is done
 3. disable data network 
 4. play and close all auto-cached ads individually
 5. enable data network","The played auto-cacheable ads should not be auto-cached while the network is disabled
 
 The played auto-cacheable ads should start auto-caching when data network is enabled back",Interruption,2,1,1
AutoCache/Multi AutoCache,ATCH-18,"All auto-cacheable placements:
 play all different types of ads","All auto-cacheable placements:
 play all different types of ads",all auto-cacheable placements,any,"1. initialize the app
 2. wait until all auto-cacheable ads are loaded
 3. play all different types of ads","/will_play_ad, /ads, and /report_ad must be called in sequence
 
 the played auto-cacheable ad should be re-loaded",Basic,2,1,1
AutoCache/Multi AutoCache,ATCH-19,"All auto-cacheable placements:
 more than 10 auto-cacheable placements","All auto-cacheable placements:
 more than 10 auto-cacheable placements",all auto-cacheable placements (>10),any,1. initialize the app with more than 10 auto-cacheable placements,"All auto-cacheable placements are auto-cached successfully
 All of them are playable",Boundary,2,1,1
AutoCache/Multi AutoCache,ATCH-20,Auto-cacheable to Non auto-cacheable after auto-cached,Auto-cacheable to Non auto-cacheable after auto-cached,"multiple auto-cacheable placements 
 (1 placement of each ad type are autocacheable,
 1 placement of each ad type are non-autocacheable)",any,"1. set all different type of ads as auto-cacheable
 2. initialize the app and wait until all ads are auto-cached
 3. set all auto-cached ads as non auto-cacheable
 4. Play the auto-cached ad","all auto-cached ads must be playable
 After playing, the ad doesn't auto-cache",Functional,2,1,1
AutoCache/Multi AutoCache,ATCH-21,Non auto-cacheable to auto-cacheable,Non auto-cacheable to auto-cacheable,multiple auto-cacheable placements (each type of ads),any,"1. set all different type of ads as non auto-cacheable
 2. initialize the app
 3. set all non auto-cached ads as auto-cacheable",all ads must be auto-cached after the auto-cacheable config is applied,Functional,2,1,1
Ad ID and Fallback,ADID-1,"[iOS] Ad ID: enabled, Publish IDFV: enabled","iOS
 Ad ID: enabled
 Publish IDFV: enabled","iOS: newer than version10
 Limit Ad Tracking: Disabled
 Publish IDFV: Enabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"", ""idfa"", and ""idfv"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""idfa"" = Ad ID(IDFA) value
 - ""idfv"" = IDFV value",Functional,2,1,1
Ad ID and Fallback,ADID-2,"[iOS] Ad ID: enabled, Publish IDFV: disabled","iOS
 Ad ID: enabled
 Publish IDFV: disabled","iOS: newer than version10
 Limit Ad Tracking: Disabled
 Publish IDFV: Disabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"", ""idfa"", and ""idfv"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""idfa"" = Ad ID(IDFA) value
 - ""idfv"": doesn't exist",Functional,2,1,1
Ad ID and Fallback,ADID-3,"[iOS] Ad ID: disabled, Publish IDFV: enabled","iOS
 Ad ID: disabled
 Publish IDFV: enabled","iOS: newer than version10
 Limit Ad Tracking: Enabled
 Publish IDFV: Enabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"", ""idfa"", and ""idfv"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""idfa"" = all zeros and dashes
 - ""idfv"" = IDFV value",Functional,2,1,1
Ad ID and Fallback,ADID-4,"[iOS] Ad ID: disabled, Publish IDFV: disabled","iOS
 Ad ID: disabled
 Publish IDFV: disabled","iOS: newer than version10
 Limit Ad Tracking: Enabled
 Publish IDFV: Disabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"", ""idfa"", and ""idfv"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""idfa"" = all zeros and dashes
 - ""idfv"" doesn't exist",Functional,2,1,1
Ad ID and Fallback,ADID-5,"[iOS] Ad ID: enabled, Publish IDFV: enabled","iOS
 Ad ID: enabled
 Publish IDFV: enabled","iOS: version 9 or older
 Limit Ad Tracking: Disabled
 Publish IDFV: Enabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"", ""idfa"", and ""idfv"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""idfa"" = Ad ID(IDFA) value
 - ""idfv"" = IDFV value",Functional,2,1,1
Ad ID and Fallback,ADID-6,"[iOS] Ad ID: enabled, Publish IDFV: disabled","iOS
 Ad ID: enabled
 Publish IDFV: disabled","iOS: version 9 or older
 Limit Ad Tracking: Disabled
 Publish IDFV: Disabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"", ""idfa"", and ""idfv"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""idfa"" = Ad ID(IDFA) value
 - ""idfv"": doesn't exist",Functional,2,1,1
Ad ID and Fallback,ADID-7,"[iOS] Ad ID: disabled, Publish IDFV: enabled","iOS
 Ad ID: disabled
 Publish IDFV: enabled","iOS: version 9 or older
 Limit Ad Tracking: Enabled
 Publish IDFV: Enabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"", ""idfa"", and ""idfv"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""idfa"" = Ad ID(IDFA) value
 - ""idfv"" = IDFV value",Functional,2,1,1
Ad ID and Fallback,ADID-8,"[iOS] Ad ID: disabled, Publish IDFV: disabled","iOS
 Ad ID: disabled
 Publish IDFV: disabled","iOS: version 9 or older
 Limit Ad Tracking: Enabled
 Publish IDFV: Disabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"", ""idfa"", and ""idfv"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""idfa"" = Ad ID(IDFA) value
 - ""idfv"" doesn't exist",Functional,2,1,1
Ad ID and Fallback,ADID-9,"[Android] Ad ID: enabled, AndroidID: enabled","Android
 Ad ID: enabled
 AndroidID: enabled","Android with Google Service Installed
 Opt out of Ads Personalization: Disabled
 AndroidID: Enabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"" and ""gaid"", values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""gaid"" = Ad ID value
 - ""android_id"" = """"",Functional,2,1,1
Ad ID and Fallback,ADID-10,"[Android] Ad ID: enabled, AndroidID: disabled","Android
 Ad ID: enabled
 AndroidID: disabled","Android with Google Service Installed
 Opt out of Ads Personalization: Disabled
 AndroidID: Disabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"" and ""gaid"", values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""gaid"" = Ad ID value
 - ""android_id"" = """"",Functional,2,1,1
Ad ID and Fallback,ADID-11,"[Android] Ad ID: disabled, AndroidID: enabled","Android
 Ad ID: disabled
 AndroidID: enabled","Android with Google Service Installed
 Opt out of Ads Personalization: Enabled
 AndroidID: Enabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"" and ""gaid"", values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""gaid"" = Ad ID value
 - ""android_id"" = """"",Functional,2,1,1
Ad ID and Fallback,ADID-12,"[Android] Ad ID: disabled, AndroidID: disabled","Android
 Ad ID: disabled
 AndroidID: disabled","Android with Google Service Installed
 Opt out of Ads Personalization: Enabled
 AndroidID: Disabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"" and ""gaid"", values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""gaid"" = Ad ID value
 - ""android_id"" = """"",Functional,2,1,1
Ad ID and Fallback,ADID-13,"[Amazon] Ad ID: Enabled, AndroidID: enabled","Android Amazon
 Ad ID: Enabled
 AndroidID: enabled","Android Amazon
 Advertising ID: Endabled
 AndroidID: Enabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"" and ""amazon_advertising_id"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""amazon_advertising_id"" = Ad ID value",Functional,2,1,1
Ad ID and Fallback,ADID-14,"[Amazon] Ad ID: Enabled, AndroidID: disabled","Android Amazon
 Ad ID: Enabled
 AndroidID: disabled","Android Amazon
 Advertising ID: Endabled
 AndroidID: Disabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"" and ""amazon_advertising_id"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""amazon_advertising_id"" = Ad ID value",Functional,2,1,1
Ad ID and Fallback,ADID-15,"[Amazon] Ad ID: disabled, AndroidID: enabled","Android Amazon
 Ad ID: disabled
 AndroidID: enabled","Android Amazon
 Advertising ID: Disabled
 AndroidID: Enabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"" and ""amazon_advertising_id"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""amazon_advertising_id"" = Ad ID value",Functional,2,1,1
Ad ID and Fallback,ADID-16,"[Amazon] Ad ID: disabled, AndroidID: disabled","Android Amazon
 Ad ID: disabled
 AndroidID: disabled","Android Amazon
 Advertising ID: Disabled
 AndroidID: Disabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"" and ""amazon_advertising_id"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""amazon_advertising_id"" = Ad ID value",Functional,2,1,1
Ad ID and Fallback,ADID-17,[Android Chinese] AndroidID: enabled,"Android Chinese
 AndroidID: enabled","Android Chinese Device
 AndroidID: Enabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"" and ""android_id"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""android_id"" = Ad ID value",Functional,2,1,1
Ad ID and Fallback,ADID-18,[Android Chinese] AndroidID: disabled,"Android Chinese
 AndroidID: disabled","Android Chinese Device
 AndroidID: Disabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"" and ""android_id"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"" = """"
 - ""android_id"" doesn't exist",Functional,2,1,1
Ad ID and Fallback,ADID-19,"[Windows] Ad ID: enabled, AndroidID: enabled","Windows
 Ad ID: enabled
 AndroidID: enabled","Windows
 Settings -> Privacy: Disabled
 ashwid: Enabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"", ""msaid"", and ""ashwid"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""msaid"" = Ad ID value
 - ""ashwid"" = ASHWID value",Functional,2,1,1
Ad ID and Fallback,ADID-20,"[Windows] Ad ID: enabled, AndroidID: disabled","Windows
 Ad ID: enabled
 AndroidID: disabled","Windows
 Settings -> Privacy: Disabled
 ashwid: Disabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"", ""msaid"", and ""ashwid"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""msaid"" = Ad ID value
 - ""ashwid"" : doesn't exist",Functional,2,1,1
Ad ID and Fallback,ADID-21,"[Windows] Ad ID: disabled, AndroidID: enabled","Windows
 Ad ID: disabled
 AndroidID: enabled","Windows
 Settings -> Privacy: Enabled
 ashwid: Enabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"", ""msaid"", and ""ashwid"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""msaid"" = """"
 - ""ashwid"" = ASHWID value",Functional,2,1,1
Ad ID and Fallback,ADID-22,"[Windows] Ad ID: enabled, AndroidID: enabled","Windows
 Ad ID: enabled
 AndroidID: enabled","Windows
 Settings -> Privacy: Disabled
 ashwid: Enabled",any,"1. initialize the app
 2. load ad
 3. play ad
 4. close ad
 5. Observe ""ifa"", ""msaid"", and ""ashwid"" values in /config, /ads, /will_play_ad, and /report_ad API Request Payload","API request payload:
 - ""ifa"", ""msaid"" = Ad ID value
 - ""ashwid"" = ASHWID value",Functional,2,1,1
